nodename,batch,task,solution,data,timestamp,finished
mr-0xc11,1543462943,groupby,pydatatable,G1_1e9_1e2_0_0.csv,1543464278.76285,1
mr-0xc11,1543462943,groupby,pydatatable,G1_1e7_1e1_0_0.csv,1543464279.01687,0
mr-0xc11,1543462943,groupby,pydatatable,G1_1e7_1e1_0_0.csv,1543464291.90215,1
mr-0xc11,1543462943,groupby,pydatatable,G1_1e8_1e1_0_0.csv,1543464292.10809,0
mr-0xc11,1543462943,groupby,pydatatable,G1_1e8_1e1_0_0.csv,1543464414.7394,1
mr-0xc11,1543462943,groupby,pydatatable,G1_1e9_1e1_0_0.csv,1543464414.94156,0
mr-0xc11,1543462943,groupby,pydatatable,G1_1e9_1e1_0_0.csv,1543465848.37688,1
mr-0xc11,1543462943,groupby,pydatatable,G1_1e7_2e0_0_0.csv,1543465848.63936,0
mr-0xc11,1543462943,groupby,pydatatable,G1_1e7_2e0_0_0.csv,1543465864.30927,1
mr-0xc11,1543462943,groupby,pydatatable,G1_1e8_2e0_0_0.csv,1543465864.50995,0
mr-0xc11,1543462943,groupby,pydatatable,G1_1e8_2e0_0_0.csv,1543466020.4442,1
mr-0xc11,1543462943,groupby,pydatatable,G1_1e9_2e0_0_0.csv,1543466020.64375,0
mr-0xc11,1543462943,groupby,pydatatable,G1_1e9_2e0_0_0.csv,1543467638.87403,1
mr-0xc11,1543462943,groupby,pydatatable,G1_1e7_1e2_0_1.csv,1543467639.12777,0
mr-0xc11,1543462943,groupby,pydatatable,G1_1e7_1e2_0_1.csv,1543467649.95371,1
mr-0xc11,1543462943,groupby,pydatatable,G1_1e8_1e2_0_1.csv,1543467650.14963,0
mr-0xc11,1543462943,groupby,pydatatable,G1_1e8_1e2_0_1.csv,1543467734.68006,1
mr-0xc11,1543462943,groupby,pydatatable,G1_1e9_1e2_0_1.csv,1543467734.87975,0
mr-0xc11,1543462943,groupby,pydatatable,G1_1e9_1e2_0_1.csv,1543468359.98783,1
